backgrounds/percellbg : pid 29816, running 300s
grid 178x63
[2026-08-28T10:34:14Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 98us  skipped 240/240  total 347us  upload 0us  backgrounds 155us  glyphs 89us  decorations -
[2026-08-28T10:34:18Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 90us  skipped 240/240  total 922us  upload 0us  backgrounds 416us  glyphs 492us  decorations -
[2026-08-28T10:34:22Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 79us  skipped 240/240  total 809us  upload 0us  backgrounds 379us  glyphs 380us  decorations -
[2026-08-28T10:34:27Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 130us  skipped 240/240  total 2179us  upload 0us  backgrounds 596us  glyphs 545us  decorations -
[2026-08-28T10:34:34Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 233us  skipped 240/240  total 3835us  upload 0us  backgrounds 1423us  glyphs 1166us  decorations -
[2026-08-28T10:34:40Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 223us  skipped 240/240  total 3869us  upload 0us  backgrounds 1760us  glyphs 1176us  decorations -
[2026-08-28T10:34:47Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 210us  skipped 240/240  total 3868us  upload 0us  backgrounds 1963us  glyphs 1141us  decorations -
[2026-08-28T10:34:51Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 68us  skipped 240/240  total 887us  upload 0us  backgrounds 395us  glyphs 484us  decorations -
[2026-08-28T10:34:54Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 59us  skipped 240/240  total 538us  upload 0us  backgrounds 262us  glyphs 272us  decorations -
[2026-08-28T10:35:02Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 213us  skipped 240/240  total 3844us  upload 0us  backgrounds 2053us  glyphs 1333us  decorations -
[2026-08-28T10:35:10Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 226us  skipped 240/240  total 3867us  upload 0us  backgrounds 2330us  glyphs 1191us  decorations -
[2026-08-28T10:35:15Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 144us  skipped 240/240  total 1114us  upload 0us  backgrounds 555us  glyphs 531us  decorations -
[2026-08-28T10:35:17Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 163us  skipped 240/240  total 815us  upload 0us  backgrounds 369us  glyphs 444us  decorations -
[2026-08-28T10:35:18Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 194us  skipped 240/240  total 537us  upload 0us  backgrounds 261us  glyphs 270us  decorations -
[2026-08-28T10:35:20Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 222us  skipped 240/240  total 535us  upload 0us  backgrounds 262us  glyphs 271us  decorations -
[2026-08-28T10:35:22Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 287us  skipped 240/240  total 942us  upload 0us  backgrounds 518us  glyphs 413us  decorations -
[2026-08-28T10:35:23Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 325us  skipped 240/240  total 1021us  upload 0us  backgrounds 541us  glyphs 421us  decorations -
[2026-08-28T10:35:24Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 273us  skipped 240/240  total 941us  upload 0us  backgrounds 519us  glyphs 411us  decorations -
[2026-08-28T10:35:25Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 252us  skipped 240/240  total 926us  upload 0us  backgrounds 516us  glyphs 406us  decorations -
[2026-08-28T10:35:27Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 267us  skipped 240/240  total 935us  upload 0us  backgrounds 519us  glyphs 409us  decorations -
[2026-08-28T10:35:29Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 312us  skipped 240/240  total 923us  upload 0us  backgrounds 518us  glyphs 397us  decorations -
[2026-08-28T10:35:30Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 297us  skipped 240/240  total 930us  upload 0us  backgrounds 519us  glyphs 399us  decorations -
[2026-08-28T10:35:32Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 272us  skipped 240/240  total 934us  upload 0us  backgrounds 519us  glyphs 404us  decorations -
[2026-08-28T10:35:33Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 268us  skipped 240/240  total 906us  upload 0us  backgrounds 514us  glyphs 387us  decorations -
[2026-08-28T10:35:34Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 181us  skipped 240/240  total 652us  upload 0us  backgrounds 345us  glyphs 299us  decorations -
[2026-08-28T10:35:34Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 149us  skipped 240/240  total 486us  upload 0us  backgrounds 247us  glyphs 234us  decorations -
[2026-08-28T10:35:35Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 176us  skipped 240/240  total 521us  upload 0us  backgrounds 262us  glyphs 251us  decorations -
[2026-08-28T10:35:36Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 166us  skipped 240/240  total 511us  upload 0us  backgrounds 261us  glyphs 244us  decorations -
[2026-08-28T10:35:36Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 153us  skipped 240/240  total 498us  upload 0us  backgrounds 249us  glyphs 237us  decorations -
[2026-08-28T10:35:37Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 139us  skipped 240/240  total 475us  upload 0us  backgrounds 244us  glyphs 228us  decorations -
[2026-08-28T10:35:37Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 132us  skipped 240/240  total 404us  upload 0us  backgrounds 200us  glyphs 202us  decorations -
[2026-08-28T10:35:38Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 133us  skipped 240/240  total 356us  upload 0us  backgrounds 162us  glyphs 191us  decorations -
[2026-08-28T10:35:38Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 154us  skipped 240/240  total 375us  upload 0us  backgrounds 174us  glyphs 200us  decorations -
[2026-08-28T10:35:39Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 119us  skipped 240/240  total 316us  upload 0us  backgrounds 132us  glyphs 177us  decorations -
[2026-08-28T10:35:39Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 124us  skipped 240/240  total 286us  upload 0us  backgrounds 115us  glyphs 169us  decorations -
[2026-08-28T10:35:40Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 126us  skipped 240/240  total 292us  upload 0us  backgrounds 118us  glyphs 171us  decorations -
[2026-08-28T10:35:40Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 127us  skipped 240/240  total 288us  upload 0us  backgrounds 117us  glyphs 170us  decorations -
