backgrounds/plain : pid 62072, running 300s
grid 178x63
[2026-08-28T10:29:11Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 211us  skipped 240/240  total 229us  upload 0us  backgrounds 20us  glyphs 210us  decorations -
[2026-08-28T10:29:12Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 208us  skipped 240/240  total 384us  upload 0us  backgrounds 181us  glyphs 206us  decorations -
[2026-08-28T10:29:12Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 232us  skipped 240/240  total 293us  upload 0us  backgrounds 29us  glyphs 265us  decorations -
[2026-08-28T10:29:13Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 239us  skipped 240/240  total 549us  upload 0us  backgrounds 278us  glyphs 271us  decorations -
[2026-08-28T10:29:14Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 214us  skipped 240/240  total 286us  upload 0us  backgrounds 28us  glyphs 258us  decorations -
[2026-08-28T10:29:15Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 209us  skipped 240/240  total 514us  upload 0us  backgrounds 260us  glyphs 254us  decorations -
[2026-08-28T10:29:15Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 204us  skipped 240/240  total 273us  upload 0us  backgrounds 26us  glyphs 247us  decorations -
[2026-08-28T10:29:16Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 225us  skipped 240/240  total 531us  upload 0us  backgrounds 262us  glyphs 262us  decorations -
[2026-08-28T10:29:17Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 201us  skipped 240/240  total 288us  upload 0us  backgrounds 28us  glyphs 259us  decorations -
[2026-08-28T10:29:18Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 229us  skipped 240/240  total 532us  upload 0us  backgrounds 261us  glyphs 262us  decorations -
[2026-08-28T10:29:19Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 269us  skipped 240/240  total 390us  upload 0us  backgrounds 37us  glyphs 347us  decorations -
[2026-08-28T10:29:21Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 308us  skipped 240/240  total 920us  upload 0us  backgrounds 516us  glyphs 403us  decorations -
[2026-08-28T10:29:22Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 298us  skipped 240/240  total 462us  upload 0us  backgrounds 52us  glyphs 409us  decorations -
[2026-08-28T10:29:23Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 339us  skipped 240/240  total 926us  upload 0us  backgrounds 517us  glyphs 410us  decorations -
[2026-08-28T10:29:24Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 315us  skipped 240/240  total 467us  upload 0us  backgrounds 52us  glyphs 414us  decorations -
[2026-08-28T10:29:26Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 334us  skipped 240/240  total 936us  upload 0us  backgrounds 517us  glyphs 420us  decorations -
[2026-08-28T10:29:27Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 313us  skipped 240/240  total 491us  upload 0us  backgrounds 52us  glyphs 438us  decorations -
[2026-08-28T10:29:28Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 249us  skipped 240/240  total 814us  upload 0us  backgrounds 460us  glyphs 354us  decorations -
[2026-08-28T10:29:29Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 308us  skipped 240/240  total 462us  upload 0us  backgrounds 52us  glyphs 409us  decorations -
[2026-08-28T10:29:30Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 293us  skipped 240/240  total 819us  upload 0us  backgrounds 461us  glyphs 359us  decorations -
[2026-08-28T10:29:32Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 287us  skipped 240/240  total 437us  upload 0us  backgrounds 52us  glyphs 386us  decorations -
[2026-08-28T10:29:33Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 278us  skipped 240/240  total 908us  upload 0us  backgrounds 517us  glyphs 391us  decorations -
[2026-08-28T10:29:34Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 295us  skipped 240/240  total 450us  upload 0us  backgrounds 52us  glyphs 397us  decorations -
[2026-08-28T10:29:36Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 284us  skipped 240/240  total 920us  upload 0us  backgrounds 517us  glyphs 401us  decorations -
[2026-08-28T10:29:37Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 284us  skipped 240/240  total 455us  upload 0us  backgrounds 53us  glyphs 402us  decorations -
[2026-08-28T10:29:38Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 281us  skipped 240/240  total 914us  upload 0us  backgrounds 516us  glyphs 398us  decorations -
[2026-08-28T10:29:40Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 289us  skipped 240/240  total 454us  upload 0us  backgrounds 53us  glyphs 401us  decorations -
[2026-08-28T10:29:41Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 283us  skipped 240/240  total 931us  upload 0us  backgrounds 517us  glyphs 411us  decorations -
[2026-08-28T10:29:43Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 328us  skipped 240/240  total 458us  upload 0us  backgrounds 53us  glyphs 405us  decorations -
[2026-08-28T10:29:44Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 205us  skipped 240/240  total 587us  upload 0us  backgrounds 297us  glyphs 289us  decorations -
[2026-08-28T10:29:45Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 243us  skipped 240/240  total 341us  upload 0us  backgrounds 36us  glyphs 305us  decorations -
[2026-08-28T10:29:46Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 212us  skipped 240/240  total 610us  upload 0us  backgrounds 320us  glyphs 290us  decorations -
[2026-08-28T10:29:46Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 209us  skipped 240/240  total 312us  upload 0us  backgrounds 32us  glyphs 280us  decorations -
[2026-08-28T10:29:47Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 188us  skipped 240/240  total 545us  upload 0us  backgrounds 278us  glyphs 264us  decorations -
[2026-08-28T10:29:48Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 203us  skipped 240/240  total 345us  upload 0us  backgrounds 36us  glyphs 308us  decorations -
[2026-08-28T10:29:49Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 198us  skipped 240/240  total 664us  upload 0us  backgrounds 346us  glyphs 313us  decorations -
[2026-08-28T10:29:50Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 210us  skipped 240/240  total 351us  upload 0us  backgrounds 37us  glyphs 314us  decorations -
[2026-08-28T10:29:51Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 201us  skipped 240/240  total 644us  upload 0us  backgrounds 346us  glyphs 297us  decorations -
[2026-08-28T10:29:52Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 219us  skipped 240/240  total 335us  upload 0us  backgrounds 36us  glyphs 299us  decorations -
[2026-08-28T10:29:53Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 237us  skipped 240/240  total 681us  upload 0us  backgrounds 376us  glyphs 306us  decorations -
[2026-08-28T10:29:54Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 229us  skipped 240/240  total 337us  upload 0us  backgrounds 36us  glyphs 301us  decorations -
[2026-08-28T10:29:54Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 198us  skipped 240/240  total 635us  upload 0us  backgrounds 346us  glyphs 289us  decorations -
[2026-08-28T10:29:55Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 192us  skipped 240/240  total 322us  upload 0us  backgrounds 34us  glyphs 287us  decorations -
[2026-08-28T10:29:56Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 216us  skipped 240/240  total 624us  upload 0us  backgrounds 321us  glyphs 295us  decorations -
[2026-08-28T10:29:57Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 227us  skipped 240/240  total 339us  upload 0us  backgrounds 36us  glyphs 302us  decorations -
[2026-08-28T10:29:58Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 225us  skipped 240/240  total 630us  upload 0us  backgrounds 345us  glyphs 286us  decorations -
[2026-08-28T10:29:59Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 219us  skipped 240/240  total 297us  upload 0us  backgrounds 29us  glyphs 268us  decorations -
[2026-08-28T10:30:00Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 288us  skipped 240/240  total 915us  upload 0us  backgrounds 516us  glyphs 395us  decorations -
[2026-08-28T10:30:02Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 306us  skipped 240/240  total 469us  upload 0us  backgrounds 53us  glyphs 416us  decorations -
[2026-08-28T10:30:03Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 306us  skipped 240/240  total 928us  upload 0us  backgrounds 517us  glyphs 411us  decorations -
[2026-08-28T10:30:05Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 301us  skipped 240/240  total 465us  upload 0us  backgrounds 53us  glyphs 412us  decorations -
[2026-08-28T10:30:07Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 288us  skipped 240/240  total 977us  upload 0us  backgrounds 518us  glyphs 441us  decorations -
[2026-08-28T10:30:08Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 275us  skipped 240/240  total 487us  upload 0us  backgrounds 52us  glyphs 435us  decorations -
[2026-08-28T10:30:10Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 272us  skipped 240/240  total 949us  upload 0us  backgrounds 517us  glyphs 431us  decorations -
[2026-08-28T10:30:11Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 259us  skipped 240/240  total 484us  upload 0us  backgrounds 53us  glyphs 431us  decorations -
[2026-08-28T10:30:12Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 272us  skipped 240/240  total 910us  upload 0us  backgrounds 517us  glyphs 393us  decorations -
[2026-08-28T10:30:13Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 273us  skipped 240/240  total 448us  upload 0us  backgrounds 53us  glyphs 395us  decorations -
[2026-08-28T10:30:15Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 298us  skipped 240/240  total 906us  upload 0us  backgrounds 517us  glyphs 389us  decorations -
[2026-08-28T10:30:16Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 270us  skipped 240/240  total 451us  upload 0us  backgrounds 52us  glyphs 398us  decorations -
[2026-08-28T10:30:17Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 293us  skipped 240/240  total 913us  upload 0us  backgrounds 517us  glyphs 396us  decorations -
[2026-08-28T10:30:18Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 258us  skipped 240/240  total 382us  upload 0us  backgrounds 39us  glyphs 340us  decorations -
[2026-08-28T10:30:19Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 207us  skipped 240/240  total 612us  upload 0us  backgrounds 319us  glyphs 297us  decorations -
[2026-08-28T10:30:20Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 219us  skipped 240/240  total 379us  upload 0us  backgrounds 36us  glyphs 341us  decorations -
[2026-08-28T10:30:21Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 211us  skipped 240/240  total 665us  upload 0us  backgrounds 346us  glyphs 318us  decorations -
[2026-08-28T10:30:22Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 199us  skipped 240/240  total 365us  upload 0us  backgrounds 36us  glyphs 328us  decorations -
[2026-08-28T10:30:23Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 214us  skipped 240/240  total 659us  upload 0us  backgrounds 346us  glyphs 312us  decorations -
[2026-08-28T10:30:24Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 223us  skipped 240/240  total 341us  upload 0us  backgrounds 36us  glyphs 304us  decorations -
[2026-08-28T10:30:25Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 214us  skipped 240/240  total 654us  upload 0us  backgrounds 346us  glyphs 308us  decorations -
[2026-08-28T10:30:26Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 227us  skipped 240/240  total 352us  upload 0us  backgrounds 36us  glyphs 315us  decorations -
[2026-08-28T10:30:26Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 215us  skipped 240/240  total 644us  upload 0us  backgrounds 346us  glyphs 298us  decorations -
[2026-08-28T10:30:27Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 217us  skipped 240/240  total 337us  upload 0us  backgrounds 36us  glyphs 301us  decorations -
[2026-08-28T10:30:29Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 234us  skipped 240/240  total 742us  upload 0us  backgrounds 359us  glyphs 355us  decorations -
[2026-08-28T10:30:30Z INFO  alacritree::gpu_timing] gpu grid [bg gated], 240 frames: submit 209us  skipped 240/240  total 337us  upload 0us  backgrounds 36us  glyphs 301us  decorations -
[2026-08-28T10:30:30Z INFO  alacritree::gpu_timing] gpu grid [bg always], 240 frames: submit 229us  skipped 240/240  total 644us  upload 0us  backgrounds 347us  glyphs 298us  decorations -
