plain: pid 18944, running 300s
grid 178x63
[2026-08-28T09:42:51Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 61us  skipped 240/240  total 144us  upload 0us  backgrounds 129us  glyphs 15us  decorations -
[2026-08-28T09:42:52Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 192us  skipped 0/240  total 557us  upload 0us  backgrounds 259us  glyphs 264us  decorations 25us
[2026-08-28T09:42:53Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 244us  skipped 240/240  total 810us  upload 0us  backgrounds 457us  glyphs 355us  decorations -
[2026-08-28T09:42:54Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 322us  skipped 0/240  total 995us  upload 0us  backgrounds 515us  glyphs 422us  decorations 49us
[2026-08-28T09:42:56Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 296us  skipped 240/240  total 904us  upload 0us  backgrounds 514us  glyphs 389us  decorations -
[2026-08-28T09:42:57Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 258us  skipped 0/240  total 943us  upload 0us  backgrounds 461us  glyphs 374us  decorations 44us
[2026-08-28T09:42:58Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 274us  skipped 240/240  total 838us  upload 0us  backgrounds 460us  glyphs 365us  decorations -
[2026-08-28T09:42:59Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 304us  skipped 0/240  total 953us  upload 0us  backgrounds 515us  glyphs 389us  decorations 49us
[2026-08-28T09:43:01Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 305us  skipped 240/240  total 907us  upload 0us  backgrounds 515us  glyphs 391us  decorations -
[2026-08-28T09:43:02Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 292us  skipped 0/240  total 953us  upload 0us  backgrounds 514us  glyphs 387us  decorations 49us
[2026-08-28T09:43:03Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 292us  skipped 240/240  total 908us  upload 0us  backgrounds 514us  glyphs 393us  decorations -
[2026-08-28T09:43:05Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 327us  skipped 0/240  total 959us  upload 0us  backgrounds 515us  glyphs 395us  decorations 49us
[2026-08-28T09:43:06Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 298us  skipped 240/240  total 910us  upload 0us  backgrounds 515us  glyphs 395us  decorations -
[2026-08-28T09:43:08Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 316us  skipped 0/240  total 963us  upload 0us  backgrounds 515us  glyphs 395us  decorations 49us
[2026-08-28T09:43:09Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 191us  skipped 240/240  total 621us  upload 0us  backgrounds 319us  glyphs 300us  decorations -
[2026-08-28T09:43:10Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 192us  skipped 0/240  total 603us  upload 0us  backgrounds 294us  glyphs 281us  decorations 28us
[2026-08-28T09:43:11Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 201us  skipped 240/240  total 586us  upload 0us  backgrounds 296us  glyphs 287us  decorations -
[2026-08-28T09:43:12Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 208us  skipped 0/240  total 683us  upload 0us  backgrounds 345us  glyphs 302us  decorations 33us
[2026-08-28T09:43:13Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 198us  skipped 240/240  total 671us  upload 0us  backgrounds 366us  glyphs 303us  decorations -
[2026-08-28T09:43:13Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 181us  skipped 0/240  total 681us  upload 0us  backgrounds 344us  glyphs 302us  decorations 33us
[2026-08-28T09:43:14Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 220us  skipped 240/240  total 547us  upload 0us  backgrounds 276us  glyphs 270us  decorations -
[2026-08-28T09:43:15Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 203us  skipped 0/240  total 512us  upload 0us  backgrounds 244us  glyphs 245us  decorations 24us
[2026-08-28T09:43:16Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 208us  skipped 240/240  total 481us  upload 0us  backgrounds 242us  glyphs 242us  decorations -
[2026-08-28T09:43:16Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 182us  skipped 0/240  total 494us  upload 0us  backgrounds 243us  glyphs 233us  decorations 23us
[2026-08-28T09:43:17Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 157us  skipped 240/240  total 489us  upload 0us  backgrounds 244us  glyphs 241us  decorations -
[2026-08-28T09:43:18Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 182us  skipped 0/240  total 550us  upload 0us  backgrounds 274us  glyphs 252us  decorations 26us
[2026-08-28T09:43:19Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 177us  skipped 240/240  total 533us  upload 0us  backgrounds 261us  glyphs 259us  decorations -
[2026-08-28T09:43:19Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 208us  skipped 0/240  total 495us  upload 0us  backgrounds 231us  glyphs 237us  decorations 22us
[2026-08-28T09:43:21Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 295us  skipped 240/240  total 1010us  upload 0us  backgrounds 519us  glyphs 411us  decorations -
[2026-08-28T09:43:22Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 306us  skipped 0/240  total 967us  upload 0us  backgrounds 515us  glyphs 402us  decorations 49us
[2026-08-28T09:43:24Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 292us  skipped 240/240  total 1029us  upload 0us  backgrounds 586us  glyphs 435us  decorations -
[2026-08-28T09:43:25Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 312us  skipped 0/240  total 1005us  upload 0us  backgrounds 515us  glyphs 437us  decorations 49us
[2026-08-28T09:43:27Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 291us  skipped 240/240  total 940us  upload 0us  backgrounds 515us  glyphs 420us  decorations -
[2026-08-28T09:43:28Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 320us  skipped 0/240  total 1004us  upload 0us  backgrounds 516us  glyphs 416us  decorations 49us
[2026-08-28T09:43:30Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 286us  skipped 240/240  total 982us  upload 0us  backgrounds 517us  glyphs 416us  decorations -
[2026-08-28T09:43:31Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 302us  skipped 0/240  total 999us  upload 0us  backgrounds 516us  glyphs 416us  decorations 49us
[2026-08-28T09:43:33Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 308us  skipped 240/240  total 962us  upload 0us  backgrounds 516us  glyphs 441us  decorations -
[2026-08-28T09:43:34Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 322us  skipped 0/240  total 1063us  upload 0us  backgrounds 516us  glyphs 419us  decorations 50us
[2026-08-28T09:43:36Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 288us  skipped 240/240  total 915us  upload 0us  backgrounds 516us  glyphs 399us  decorations -
[2026-08-28T09:43:37Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 284us  skipped 0/240  total 991us  upload 0us  backgrounds 516us  glyphs 413us  decorations 49us
[2026-08-28T09:43:38Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 292us  skipped 240/240  total 910us  upload 0us  backgrounds 515us  glyphs 394us  decorations -
[2026-08-28T09:43:40Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 284us  skipped 0/240  total 980us  upload 0us  backgrounds 516us  glyphs 401us  decorations 49us
[2026-08-28T09:43:41Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 304us  skipped 240/240  total 1052us  upload 0us  backgrounds 586us  glyphs 455us  decorations -
[2026-08-28T09:43:43Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 318us  skipped 0/240  total 957us  upload 0us  backgrounds 515us  glyphs 394us  decorations 49us
[2026-08-28T09:43:44Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 213us  skipped 240/240  total 723us  upload 0us  backgrounds 375us  glyphs 333us  decorations -
[2026-08-28T09:43:45Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 203us  skipped 0/240  total 597us  upload 0us  backgrounds 295us  glyphs 277us  decorations 28us
[2026-08-28T09:43:46Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 198us  skipped 240/240  total 606us  upload 0us  backgrounds 318us  glyphs 292us  decorations -
[2026-08-28T09:43:46Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 200us  skipped 0/240  total 626us  upload 0us  backgrounds 316us  glyphs 285us  decorations 29us
[2026-08-28T09:43:47Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 189us  skipped 240/240  total 600us  upload 0us  backgrounds 317us  glyphs 289us  decorations -
[2026-08-28T09:43:48Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 160us  skipped 0/240  total 620us  upload 0us  backgrounds 297us  glyphs 285us  decorations 29us
[2026-08-28T09:43:49Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 204us  skipped 240/240  total 589us  upload 0us  backgrounds 293us  glyphs 287us  decorations -
[2026-08-28T09:43:50Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 216us  skipped 0/240  total 502us  upload 0us  backgrounds 244us  glyphs 235us  decorations 24us
[2026-08-28T09:43:50Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 188us  skipped 240/240  total 439us  upload 0us  backgrounds 218us  glyphs 223us  decorations -
[2026-08-28T09:43:51Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 191us  skipped 0/240  total 446us  upload 0us  backgrounds 208us  glyphs 217us  decorations 20us
[2026-08-28T09:43:52Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 170us  skipped 240/240  total 411us  upload 0us  backgrounds 198us  glyphs 213us  decorations -
[2026-08-28T09:43:52Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 187us  skipped 0/240  total 414us  upload 0us  backgrounds 189us  glyphs 207us  decorations 18us
[2026-08-28T09:43:53Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 176us  skipped 240/240  total 379us  upload 0us  backgrounds 179us  glyphs 201us  decorations -
[2026-08-28T09:43:53Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 168us  skipped 0/240  total 338us  upload 0us  backgrounds 136us  glyphs 188us  decorations 13us
[2026-08-28T09:43:54Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 175us  skipped 240/240  total 320us  upload 0us  backgrounds 135us  glyphs 185us  decorations -
[2026-08-28T09:43:54Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 195us  skipped 0/240  total 328us  upload 0us  backgrounds 132us  glyphs 183us  decorations 13us
[2026-08-28T09:43:55Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 142us  skipped 240/240  total 345us  upload 0us  backgrounds 146us  glyphs 204us  decorations -
[2026-08-28T09:43:56Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 263us  skipped 0/240  total 972us  upload 0us  backgrounds 515us  glyphs 407us  decorations 49us
[2026-08-28T09:43:58Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 296us  skipped 240/240  total 1020us  upload 0us  backgrounds 585us  glyphs 431us  decorations -
[2026-08-28T09:43:59Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 332us  skipped 0/240  total 981us  upload 0us  backgrounds 516us  glyphs 411us  decorations 49us
[2026-08-28T09:44:00Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 309us  skipped 240/240  total 1024us  upload 0us  backgrounds 587us  glyphs 435us  decorations -
[2026-08-28T09:44:02Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 329us  skipped 0/240  total 981us  upload 0us  backgrounds 516us  glyphs 413us  decorations 50us
[2026-08-28T09:44:03Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 296us  skipped 240/240  total 1013us  upload 0us  backgrounds 518us  glyphs 443us  decorations -
[2026-08-28T09:44:05Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 338us  skipped 0/240  total 1096us  upload 0us  backgrounds 585us  glyphs 452us  decorations 55us
[2026-08-28T09:44:06Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 283us  skipped 240/240  total 906us  upload 0us  backgrounds 516us  glyphs 391us  decorations -
[2026-08-28T09:44:08Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 293us  skipped 0/240  total 956us  upload 0us  backgrounds 516us  glyphs 392us  decorations 49us
[2026-08-28T09:44:09Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 251us  skipped 240/240  total 902us  upload 0us  backgrounds 515us  glyphs 387us  decorations -
[2026-08-28T09:44:10Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 316us  skipped 0/240  total 984us  upload 0us  backgrounds 516us  glyphs 410us  decorations 49us
[2026-08-28T09:44:12Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 290us  skipped 240/240  total 915us  upload 0us  backgrounds 515us  glyphs 398us  decorations -
[2026-08-28T09:44:13Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 305us  skipped 0/240  total 965us  upload 0us  backgrounds 516us  glyphs 398us  decorations 49us
[2026-08-28T09:44:14Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 217us  skipped 240/240  total 638us  upload 0us  backgrounds 342us  glyphs 298us  decorations -
[2026-08-28T09:44:15Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 228us  skipped 0/240  total 674us  upload 0us  backgrounds 343us  glyphs 299us  decorations 33us
[2026-08-28T09:44:16Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 196us  skipped 240/240  total 682us  upload 0us  backgrounds 375us  glyphs 310us  decorations -
[2026-08-28T09:44:17Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 198us  skipped 0/240  total 684us  upload 0us  backgrounds 345us  glyphs 303us  decorations 33us
[2026-08-28T09:44:18Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 171us  skipped 240/240  total 677us  upload 0us  backgrounds 374us  glyphs 304us  decorations -
[2026-08-28T09:44:19Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 161us  skipped 0/240  total 673us  upload 0us  backgrounds 344us  glyphs 295us  decorations 33us
[2026-08-28T09:44:20Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 168us  skipped 240/240  total 639us  upload 0us  backgrounds 345us  glyphs 295us  decorations -
[2026-08-28T09:44:21Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 222us  skipped 0/240  total 718us  upload 0us  backgrounds 370us  glyphs 307us  decorations 33us
[2026-08-28T09:44:22Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 204us  skipped 240/240  total 673us  upload 0us  backgrounds 351us  glyphs 303us  decorations -
[2026-08-28T09:44:23Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 216us  skipped 0/240  total 707us  upload 0us  backgrounds 346us  glyphs 302us  decorations 33us
[2026-08-28T09:44:24Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 176us  skipped 240/240  total 678us  upload 0us  backgrounds 373us  glyphs 305us  decorations -
[2026-08-28T09:44:24Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 209us  skipped 0/240  total 576us  upload 0us  backgrounds 277us  glyphs 271us  decorations 27us
[2026-08-28T09:44:26Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 302us  skipped 240/240  total 908us  upload 0us  backgrounds 516us  glyphs 393us  decorations -
[2026-08-28T09:44:27Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 317us  skipped 0/240  total 971us  upload 0us  backgrounds 515us  glyphs 407us  decorations 49us
[2026-08-28T09:44:29Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 323us  skipped 240/240  total 925us  upload 0us  backgrounds 515us  glyphs 408us  decorations -
[2026-08-28T09:44:30Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 298us  skipped 0/240  total 984us  upload 0us  backgrounds 517us  glyphs 414us  decorations 49us
[2026-08-28T09:44:31Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 234us  skipped 240/240  total 921us  upload 0us  backgrounds 515us  glyphs 406us  decorations -
[2026-08-28T09:44:33Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 332us  skipped 0/240  total 993us  upload 0us  backgrounds 517us  glyphs 415us  decorations 49us
[2026-08-28T09:44:34Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 290us  skipped 240/240  total 966us  upload 0us  backgrounds 516us  glyphs 446us  decorations -
[2026-08-28T09:44:36Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 296us  skipped 0/240  total 1006us  upload 0us  backgrounds 515us  glyphs 440us  decorations 49us
[2026-08-28T09:44:38Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 342us  skipped 240/240  total 991us  upload 0us  backgrounds 516us  glyphs 447us  decorations -
[2026-08-28T09:44:39Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 323us  skipped 0/240  total 1021us  upload 0us  backgrounds 516us  glyphs 446us  decorations 49us
[2026-08-28T09:44:40Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 311us  skipped 240/240  total 939us  upload 0us  backgrounds 515us  glyphs 422us  decorations -
[2026-08-28T09:44:42Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 300us  skipped 0/240  total 973us  upload 0us  backgrounds 516us  glyphs 399us  decorations 49us
[2026-08-28T09:44:44Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 278us  skipped 240/240  total 1011us  upload 0us  backgrounds 517us  glyphs 410us  decorations -
[2026-08-28T09:44:45Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 278us  skipped 0/240  total 972us  upload 0us  backgrounds 516us  glyphs 401us  decorations 49us
