underline: pid 86912, running 300s
grid 178x63
[2026-08-28T09:48:41Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 101us  skipped 152/240  total 646us  upload 0us  backgrounds 457us  glyphs 57us  decorations 194us
[2026-08-28T09:48:42Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 160us  skipped 0/240  total 448us  upload 0us  backgrounds 141us  glyphs 182us  decorations 119us
[2026-08-28T09:48:42Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 205us  skipped 0/240  total 398us  upload 0us  backgrounds 118us  glyphs 178us  decorations 97us
[2026-08-28T09:48:43Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 227us  skipped 0/240  total 413us  upload 0us  backgrounds 121us  glyphs 185us  decorations 104us
[2026-08-28T09:48:43Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 225us  skipped 0/240  total 693us  upload 0us  backgrounds 245us  glyphs 241us  decorations 204us
[2026-08-28T09:48:44Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 202us  skipped 0/240  total 927us  upload 0us  backgrounds 342us  glyphs 294us  decorations 266us
[2026-08-28T09:48:45Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 245us  skipped 0/240  total 1011us  upload 0us  backgrounds 375us  glyphs 320us  decorations 313us
[2026-08-28T09:48:47Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 234us  skipped 0/240  total 1009us  upload 0us  backgrounds 375us  glyphs 318us  decorations 312us
[2026-08-28T09:48:47Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 193us  skipped 0/240  total 935us  upload 0us  backgrounds 345us  glyphs 301us  decorations 287us
[2026-08-28T09:48:49Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 232us  skipped 0/240  total 943us  upload 0us  backgrounds 346us  glyphs 304us  decorations 288us
[2026-08-28T09:48:49Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 198us  skipped 0/240  total 733us  upload 0us  backgrounds 259us  glyphs 252us  decorations 216us
[2026-08-28T09:48:50Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 199us  skipped 0/240  total 415us  upload 0us  backgrounds 123us  glyphs 186us  decorations 106us
[2026-08-28T09:48:51Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 310us  skipped 0/240  total 1392us  upload 0us  backgrounds 516us  glyphs 428us  decorations 428us
[2026-08-28T09:48:53Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 321us  skipped 0/240  total 1387us  upload 0us  backgrounds 516us  glyphs 422us  decorations 429us
[2026-08-28T09:48:55Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 324us  skipped 0/240  total 1530us  upload 0us  backgrounds 521us  glyphs 442us  decorations 430us
[2026-08-28T09:48:57Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 333us  skipped 0/240  total 1366us  upload 0us  backgrounds 515us  glyphs 403us  decorations 428us
[2026-08-28T09:48:59Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 331us  skipped 0/240  total 1348us  upload 0us  backgrounds 516us  glyphs 394us  decorations 428us
[2026-08-28T09:49:00Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 348us  skipped 0/240  total 1340us  upload 0us  backgrounds 515us  glyphs 395us  decorations 427us
[2026-08-28T09:49:02Z INFO  alacritree::gpu_timing] gpu grid [deco gated], 240 frames: submit 332us  skipped 0/240  total 1340us  upload 0us  backgrounds 516us  glyphs 394us  decorations 428us
[2026-08-28T09:49:03Z INFO  alacritree::gpu_timing] gpu grid [deco always], 240 frames: submit 316us  skipped 0/240  total 1342us  upload 0us  backgrounds 515us  glyphs 394us  decorations 428us
