glyphs/plain : pid 93440, running 300s
grid 178x63
[2026-08-28T11:14:04Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 61us  skipped 240/240  total 65us  upload 0us  backgrounds 32us  glyphs 33us  decorations -
[2026-08-28T11:14:07Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 195us  skipped 240/240  total 227us  upload 0us  backgrounds 19us  glyphs 209us  decorations -
[2026-08-28T11:14:08Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 201us  skipped 240/240  total 206us  upload 0us  backgrounds 17us  glyphs 189us  decorations -
[2026-08-28T11:14:08Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 236us  skipped 240/240  total 296us  upload 0us  backgrounds 29us  glyphs 267us  decorations -
[2026-08-28T11:14:09Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 204us  skipped 240/240  total 274us  upload 0us  backgrounds 27us  glyphs 247us  decorations -
[2026-08-28T11:14:10Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 196us  skipped 240/240  total 267us  upload 0us  backgrounds 27us  glyphs 240us  decorations -
[2026-08-28T11:14:10Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 196us  skipped 240/240  total 268us  upload 0us  backgrounds 26us  glyphs 241us  decorations -
[2026-08-28T11:14:11Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 185us  skipped 240/240  total 253us  upload 0us  backgrounds 25us  glyphs 228us  decorations -
[2026-08-28T11:14:11Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 203us  skipped 240/240  total 224us  upload 0us  backgrounds 17us  glyphs 209us  decorations -
[2026-08-28T11:14:12Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 182us  skipped 240/240  total 199us  upload 0us  backgrounds 16us  glyphs 183us  decorations -
[2026-08-28T11:14:12Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 185us  skipped 240/240  total 205us  upload 0us  backgrounds 17us  glyphs 188us  decorations -
[2026-08-28T11:14:13Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 197us  skipped 240/240  total 208us  upload 0us  backgrounds 17us  glyphs 190us  decorations -
[2026-08-28T11:14:13Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 214us  skipped 240/240  total 216us  upload 0us  backgrounds 17us  glyphs 198us  decorations -
[2026-08-28T11:14:14Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 212us  skipped 240/240  total 264us  upload 0us  backgrounds 25us  glyphs 238us  decorations -
[2026-08-28T11:14:15Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 221us  skipped 240/240  total 320us  upload 0us  backgrounds 32us  glyphs 287us  decorations -
[2026-08-28T11:14:16Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 234us  skipped 240/240  total 344us  upload 0us  backgrounds 36us  glyphs 307us  decorations -
[2026-08-28T11:14:17Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 237us  skipped 240/240  total 344us  upload 0us  backgrounds 36us  glyphs 307us  decorations -
[2026-08-28T11:14:18Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 183us  skipped 240/240  total 230us  upload 0us  backgrounds 20us  glyphs 210us  decorations -
[2026-08-28T11:14:18Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 212us  skipped 240/240  total 352us  upload 0us  backgrounds 39us  glyphs 316us  decorations -
[2026-08-28T11:14:20Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 296us  skipped 240/240  total 455us  upload 0us  backgrounds 53us  glyphs 404us  decorations -
[2026-08-28T11:14:21Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 329us  skipped 240/240  total 462us  upload 0us  backgrounds 53us  glyphs 409us  decorations -
[2026-08-28T11:14:22Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 308us  skipped 240/240  total 463us  upload 0us  backgrounds 52us  glyphs 410us  decorations -
[2026-08-28T11:14:24Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 317us  skipped 240/240  total 463us  upload 0us  backgrounds 53us  glyphs 410us  decorations -
[2026-08-28T11:14:25Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 311us  skipped 240/240  total 465us  upload 0us  backgrounds 52us  glyphs 413us  decorations -
[2026-08-28T11:14:26Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 305us  skipped 240/240  total 466us  upload 0us  backgrounds 53us  glyphs 414us  decorations -
[2026-08-28T11:14:27Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 302us  skipped 240/240  total 464us  upload 0us  backgrounds 52us  glyphs 412us  decorations -
[2026-08-28T11:14:29Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 300us  skipped 240/240  total 463us  upload 0us  backgrounds 53us  glyphs 410us  decorations -
[2026-08-28T11:14:30Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 294us  skipped 240/240  total 491us  upload 0us  backgrounds 53us  glyphs 439us  decorations -
[2026-08-28T11:14:31Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 288us  skipped 240/240  total 468us  upload 0us  backgrounds 52us  glyphs 416us  decorations -
[2026-08-28T11:14:32Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 256us  skipped 240/240  total 457us  upload 0us  backgrounds 48us  glyphs 405us  decorations -
[2026-08-28T11:14:33Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 322us  skipped 240/240  total 465us  upload 0us  backgrounds 53us  glyphs 412us  decorations -
[2026-08-28T11:14:35Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 297us  skipped 240/240  total 447us  upload 0us  backgrounds 53us  glyphs 394us  decorations -
[2026-08-28T11:14:36Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 310us  skipped 240/240  total 456us  upload 0us  backgrounds 52us  glyphs 403us  decorations -
[2026-08-28T11:14:37Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 327us  skipped 240/240  total 450us  upload 0us  backgrounds 53us  glyphs 398us  decorations -
[2026-08-28T11:14:38Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 294us  skipped 240/240  total 459us  upload 0us  backgrounds 52us  glyphs 406us  decorations -
[2026-08-28T11:14:40Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 295us  skipped 240/240  total 465us  upload 0us  backgrounds 53us  glyphs 408us  decorations -
[2026-08-28T11:14:41Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 287us  skipped 240/240  total 464us  upload 0us  backgrounds 53us  glyphs 411us  decorations -
[2026-08-28T11:14:42Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 318us  skipped 240/240  total 452us  upload 0us  backgrounds 53us  glyphs 399us  decorations -
[2026-08-28T11:14:43Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 240us  skipped 240/240  total 338us  upload 0us  backgrounds 35us  glyphs 302us  decorations -
[2026-08-28T11:14:43Z INFO  alacritree::gpu_timing] gpu grid [glyph always], 240 frames: submit 252us  skipped 240/240  total 317us  upload 0us  backgrounds 32us  glyphs 285us  decorations -
[2026-08-28T11:14:44Z INFO  alacritree::gpu_timing] gpu grid [glyph gated], 240 frames: submit 228us  skipped 240/240  total 345us  upload 0us  backgrounds 36us  glyphs 308us  decorations -
